6.7680000000000E+01, 5.2640000000000E+01, 4.5120000000000E+01
6.7680000000000E+01, 5.2640000000000E+01, 5.2640000000000E+01
6.7680000000000E+01, 5.2640000000000E+01, 6.0160000000000E+01
6.7680000000000E+01, 5.2640000000000E+01, 6.7680000000000E+01
6.7680000000000E+01, 5.2640000000000E+01, 7.5200000000000E+01
6.7680000000000E+01, 5.2640000000000E+01, 8.2720000000000E+01
6.7680000000000E+01, 5.2640000000000E+01, 9.0240000000000E+01
6.7680000000000E+01, 5.2640000000000E+01, 9.7760000000000E+01
6.7680000000000E+01, 5.2640000000000E+01, 1.0528000000000E+02
6.7680000000000E+01, 5.2640000000000E+01, 1.1280000000000E+02
6.7680000000000E+01, 6.0160000000000E+01, 1.5040000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 2.2560000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 3.0080000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 3.7600000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 4.5120000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 5.2640000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 6.0160000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 6.7680000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 7.5200000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 8.2720000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 9.0240000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 9.7760000000000E+01
6.7680000000000E+01, 6.0160000000000E+01, 1.0528000000000E+02
6.7680000000000E+01, 6.0160000000000E+01, 1.1280000000000E+02
6.7680000000000E+01, 6.7680000000000E+01, 2.2560000000000E+01
6.7680000000000E+01, 6.7680000000000E+01, 3.0080000000000E+01
6.7680000000000E+01, 6.7680000000000E+01, 3.7600000000000E+01
6.7680000000000E+01, 6.7680000000000E+01, 4.5120000000000E+01
6.7680000000000E+01, 6.7680000000000E+01, 5.2640000000000E+01
6.7680000000000E+01, 6.7680000000000E+01, 6.0160000000000E+01
6.7680000000000E+01, 6.7680000000000E+01, 6.7680000000000E+01
7.5200000000000E+01, 3.0080000000000E+01, 9.7760000000000E+01
7.5200000000000E+01, 3.0080000000000E+01, 1.0528000000000E+02
7.5200000000000E+01, 3.0080000000000E+01, 1.1280000000000E+02
7.5200000000000E+01, 3.0080000000000E+01, 1.2032000000000E+02
7.5200000000000E+01, 3.0080000000000E+01, 1.2784000000000E+02
7.5200000000000E+01, 3.0080000000000E+01, 1.3536000000000E+02
7.5200000000000E+01, 3.7600000000000E+01, 1.5040000000000E+01
7.5200000000000E+01, 3.7600000000000E+01, 2.2560000000000E+01
7.5200000000000E+01, 3.7600000000000E+01, 3.0080000000000E+01
7.5200000000000E+01, 3.7600000000000E+01, 3.7600000000000E+01
7.5200000000000E+01, 3.7600000000000E+01, 4.5120000000000E+01
7.5200000000000E+01, 3.7600000000000E+01, 7.5200000000000E+01
7.5200000000000E+01, 3.7600000000000E+01, 8.2720000000000E+01
7.5200000000000E+01, 3.7600000000000E+01, 9.0240000000000E+01
7.5200000000000E+01, 3.7600000000000E+01, 9.7760000000000E+01
7.5200000000000E+01, 3.7600000000000E+01, 1.0528000000000E+02
7.5200000000000E+01, 3.7600000000000E+01, 1.1280000000000E+02
7.5200000000000E+01, 3.7600000000000E+01, 1.2032000000000E+02
7.5200000000000E+01, 3.7600000000000E+01, 1.2784000000000E+02
7.5200000000000E+01, 3.7600000000000E+01, 1.3536000000000E+02
7.5200000000000E+01, 4.5120000000000E+01, 1.5040000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 2.2560000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 3.0080000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 3.7600000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 4.5120000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 5.2640000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 6.0160000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 6.7680000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 7.5200000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 8.2720000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 9.0240000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 9.7760000000000E+01
7.5200000000000E+01, 4.5120000000000E+01, 1.0528000000000E+02
7.5200000000000E+01, 4.5120000000000E+01, 1.1280000000000E+02
7.5200000000000E+01, 4.5120000000000E+01, 1.2032000000000E+02
7.5200000000000E+01, 4.5120000000000E+01, 1.2784000000000E+02
7.5200000000000E+01, 4.5120000000000E+01, 1.3536000000000E+02
7.5200000000000E+01, 5.2640000000000E+01, 1.5040000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 2.2560000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 3.0080000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 3.7600000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 4.5120000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 5.2640000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 6.0160000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 6.7680000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 7.5200000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 8.2720000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 9.0240000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 9.7760000000000E+01
7.5200000000000E+01, 5.2640000000000E+01, 1.0528000000000E+02
7.5200000000000E+01, 5.2640000000000E+01, 1.1280000000000E+02
7.5200000000000E+01, 6.0160000000000E+01, 1.5040000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 2.2560000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 3.0080000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 3.7600000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 4.5120000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 5.2640000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 6.0160000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 6.7680000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 7.5200000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 8.2720000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 9.0240000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 9.7760000000000E+01
7.5200000000000E+01, 6.0160000000000E+01, 1.0528000000000E+02
7.5200000000000E+01, 6.0160000000000E+01, 1.1280000000000E+02
7.5200000000000E+01, 6.7680000000000E+01, 2.2560000000000E+01
7.5200000000000E+01, 6.7680000000000E+01, 3.0080000000000E+01
7.5200000000000E+01, 6.7680000000000E+01, 3.7600000000000E+01
7.5200000000000E+01, 6.7680000000000E+01, 4.5120000000000E+01
7.5200000000000E+01, 6.7680000000000E+01, 5.2640000000000E+01
7.5200000000000E+01, 6.7680000000000E+01, 6.0160000000000E+01
7.5200000000000E+01, 6.7680000000000E+01, 6.7680000000000E+01
8.2720000000000E+01, 2.2560000000000E+01, 1.1280000000000E+02
8.2720000000000E+01, 2.2560000000000E+01, 1.2032000000000E+02
8.2720000000000E+01, 2.2560000000000E+01, 1.2784000000000E+02
8.2720000000000E+01, 2.2560000000000E+01, 1.3536000000000E+02
8.2720000000000E+01, 2.2560000000000E+01, 1.4288000000000E+02
8.2720000000000E+01, 3.0080000000000E+01, 9.0240000000000E+01
8.2720000000000E+01, 3.0080000000000E+01, 9.7760000000000E+01
8.2720000000000E+01, 3.0080000000000E+01, 1.0528000000000E+02
8.2720000000000E+01, 3.0080000000000E+01, 1.1280000000000E+02
8.2720000000000E+01, 3.0080000000000E+01, 1.2032000000000E+02
8.2720000000000E+01, 3.0080000000000E+01, 1.2784000000000E+02
8.2720000000000E+01, 3.0080000000000E+01, 1.3536000000000E+02
8.2720000000000E+01, 3.0080000000000E+01, 1.4288000000000E+02
8.2720000000000E+01, 3.7600000000000E+01, 7.5200000000000E+01
8.2720000000000E+01, 3.7600000000000E+01, 8.2720000000000E+01
8.2720000000000E+01, 3.7600000000000E+01, 9.0240000000000E+01
8.2720000000000E+01, 3.7600000000000E+01, 9.7760000000000E+01
8.2720000000000E+01, 3.7600000000000E+01, 1.0528000000000E+02
8.2720000000000E+01, 3.7600000000000E+01, 1.1280000000000E+02
8.2720000000000E+01, 3.7600000000000E+01, 1.2032000000000E+02
8.2720000000000E+01, 3.7600000000000E+01, 1.2784000000000E+02
8.2720000000000E+01, 3.7600000000000E+01, 1.3536000000000E+02
8.2720000000000E+01, 3.7600000000000E+01, 1.4288000000000E+02
8.2720000000000E+01, 4.5120000000000E+01, 1.5040000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 2.2560000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 3.0080000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 3.7600000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 4.5120000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 5.2640000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 6.0160000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 6.7680000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 7.5200000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 8.2720000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 9.0240000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 9.7760000000000E+01
8.2720000000000E+01, 4.5120000000000E+01, 1.0528000000000E+02
8.2720000000000E+01, 4.5120000000000E+01, 1.1280000000000E+02
8.2720000000000E+01, 4.5120000000000E+01, 1.2032000000000E+02
8.2720000000000E+01, 4.5120000000000E+01, 1.2784000000000E+02
8.2720000000000E+01, 4.5120000000000E+01, 1.3536000000000E+02
8.2720000000000E+01, 5.2640000000000E+01, 1.5040000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 2.2560000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 3.0080000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 3.7600000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 4.5120000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 5.2640000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 6.0160000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 6.7680000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 7.5200000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 8.2720000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 9.0240000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 9.7760000000000E+01
8.2720000000000E+01, 5.2640000000000E+01, 1.0528000000000E+02
8.2720000000000E+01, 5.2640000000000E+01, 1.1280000000000E+02
8.2720000000000E+01, 6.0160000000000E+01, 2.2560000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 3.0080000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 3.7600000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 4.5120000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 5.2640000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 6.0160000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 6.7680000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 7.5200000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 8.2720000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 9.0240000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 9.7760000000000E+01
8.2720000000000E+01, 6.0160000000000E+01, 1.0528000000000E+02
8.2720000000000E+01, 6.0160000000000E+01, 1.1280000000000E+02
8.2720000000000E+01, 6.7680000000000E+01, 2.2560000000000E+01
8.2720000000000E+01, 6.7680000000000E+01, 3.0080000000000E+01
8.2720000000000E+01, 6.7680000000000E+01, 3.7600000000000E+01
8.2720000000000E+01, 6.7680000000000E+01, 4.5120000000000E+01
8.2720000000000E+01, 6.7680000000000E+01, 5.2640000000000E+01
8.2720000000000E+01, 6.7680000000000E+01, 6.0160000000000E+01
9.0240000000000E+01, 1.5040000000000E+01, 1.2032000000000E+02
9.0240000000000E+01, 1.5040000000000E+01, 1.2784000000000E+02
9.0240000000000E+01, 1.5040000000000E+01, 1.3536000000000E+02
9.0240000000000E+01, 1.5040000000000E+01, 1.4288000000000E+02
9.0240000000000E+01, 2.2560000000000E+01, 1.1280000000000E+02
9.0240000000000E+01, 2.2560000000000E+01, 1.2032000000000E+02
9.0240000000000E+01, 2.2560000000000E+01, 1.2784000000000E+02
9.0240000000000E+01, 2.2560000000000E+01, 1.3536000000000E+02
9.0240000000000E+01, 2.2560000000000E+01, 1.4288000000000E+02
9.0240000000000E+01, 3.0080000000000E+01, 9.0240000000000E+01
9.0240000000000E+01, 3.0080000000000E+01, 9.7760000000000E+01
9.0240000000000E+01, 3.0080000000000E+01, 1.0528000000000E+02
9.0240000000000E+01, 3.0080000000000E+01, 1.1280000000000E+02
9.0240000000000E+01, 3.0080000000000E+01, 1.2032000000000E+02
9.0240000000000E+01, 3.0080000000000E+01, 1.2784000000000E+02
9.0240000000000E+01, 3.0080000000000E+01, 1.3536000000000E+02
9.0240000000000E+01, 3.0080000000000E+01, 1.4288000000000E+02
9.0240000000000E+01, 3.7600000000000E+01, 7.5200000000000E+01
9.0240000000000E+01, 3.7600000000000E+01, 8.2720000000000E+01
9.0240000000000E+01, 3.7600000000000E+01, 9.0240000000000E+01
9.0240000000000E+01, 3.7600000000000E+01, 9.7760000000000E+01
9.0240000000000E+01, 3.7600000000000E+01, 1.0528000000000E+02
9.0240000000000E+01, 3.7600000000000E+01, 1.1280000000000E+02
9.0240000000000E+01, 3.7600000000000E+01, 1.2032000000000E+02
9.0240000000000E+01, 3.7600000000000E+01, 1.2784000000000E+02
9.0240000000000E+01, 3.7600000000000E+01, 1.3536000000000E+02
9.0240000000000E+01, 3.7600000000000E+01, 1.4288000000000E+02
9.0240000000000E+01, 4.5120000000000E+01, 2.2560000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 3.0080000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 3.7600000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 4.5120000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 5.2640000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 6.0160000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 6.7680000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 7.5200000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 8.2720000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 9.0240000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 9.7760000000000E+01
9.0240000000000E+01, 4.5120000000000E+01, 1.0528000000000E+02
9.0240000000000E+01, 4.5120000000000E+01, 1.1280000000000E+02
9.0240000000000E+01, 4.5120000000000E+01, 1.2032000000000E+02
9.0240000000000E+01, 4.5120000000000E+01, 1.2784000000000E+02
9.0240000000000E+01, 5.2640000000000E+01, 2.2560000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 3.0080000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 3.7600000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 4.5120000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 5.2640000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 6.0160000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 6.7680000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 7.5200000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 8.2720000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 9.0240000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 9.7760000000000E+01
9.0240000000000E+01, 5.2640000000000E+01, 1.0528000000000E+02
9.0240000000000E+01, 5.2640000000000E+01, 1.1280000000000E+02
9.0240000000000E+01, 6.0160000000000E+01, 2.2560000000000E+01
9.0240000000000E+01, 6.0160000000000E+01, 3.0080000000000E+01
9.0240000000000E+01, 6.0160000000000E+01, 3.7600000000000E+01
9.0240000000000E+01, 6.0160000000000E+01, 4.5120000000000E+01
9.0240000000000E+01, 6.0160000000000E+01, 5.2640000000000E+01
9.0240000000000E+01, 6.0160000000000E+01, 6.0160000000000E+01
9.0240000000000E+01, 6.0160000000000E+01, 9.7760000000000E+01
9.0240000000000E+01, 6.0160000000000E+01, 1.0528000000000E+02
9.0240000000000E+01, 6.0160000000000E+01, 1.1280000000000E+02
9.7760000000000E+01, 1.5040000000000E+01, 1.2032000000000E+02
9.7760000000000E+01, 1.5040000000000E+01, 1.2784000000000E+02
9.7760000000000E+01, 1.5040000000000E+01, 1.3536000000000E+02
9.7760000000000E+01, 1.5040000000000E+01, 1.4288000000000E+02
9.7760000000000E+01, 2.2560000000000E+01, 1.1280000000000E+02
9.7760000000000E+01, 2.2560000000000E+01, 1.2032000000000E+02
9.7760000000000E+01, 2.2560000000000E+01, 1.2784000000000E+02
9.7760000000000E+01, 2.2560000000000E+01, 1.3536000000000E+02
9.7760000000000E+01, 2.2560000000000E+01, 1.4288000000000E+02
9.7760000000000E+01, 3.0080000000000E+01, 9.7760000000000E+01
9.7760000000000E+01, 3.0080000000000E+01, 1.0528000000000E+02
9.7760000000000E+01, 3.0080000000000E+01, 1.1280000000000E+02
9.7760000000000E+01, 3.0080000000000E+01, 1.2032000000000E+02
9.7760000000000E+01, 3.0080000000000E+01, 1.2784000000000E+02
9.7760000000000E+01, 3.0080000000000E+01, 1.3536000000000E+02
9.7760000000000E+01, 3.7600000000000E+01, 9.0240000000000E+01
9.7760000000000E+01, 3.7600000000000E+01, 9.7760000000000E+01
9.7760000000000E+01, 3.7600000000000E+01, 1.0528000000000E+02
9.7760000000000E+01, 3.7600000000000E+01, 1.1280000000000E+02
9.7760000000000E+01, 3.7600000000000E+01, 1.2032000000000E+02
9.7760000000000E+01, 3.7600000000000E+01, 1.2784000000000E+02
9.7760000000000E+01, 3.7600000000000E+01, 1.3536000000000E+02
9.7760000000000E+01, 4.5120000000000E+01, 2.2560000000000E+01
9.7760000000000E+01, 4.5120000000000E+01, 3.0080000000000E+01
9.7760000000000E+01, 4.5120000000000E+01, 3.7600000000000E+01
9.7760000000000E+01, 4.5120000000000E+01, 4.5120000000000E+01
9.7760000000000E+01, 4.5120000000000E+01, 9.0240000000000E+01
9.7760000000000E+01, 4.5120000000000E+01, 9.7760000000000E+01
9.7760000000000E+01, 4.5120000000000E+01, 1.0528000000000E+02
9.7760000000000E+01, 4.5120000000000E+01, 1.1280000000000E+02
9.7760000000000E+01, 4.5120000000000E+01, 1.2032000000000E+02
9.7760000000000E+01, 5.2640000000000E+01, 2.2560000000000E+01
9.7760000000000E+01, 5.2640000000000E+01, 3.0080000000000E+01
9.7760000000000E+01, 5.2640000000000E+01, 3.7600000000000E+01
9.7760000000000E+01, 5.2640000000000E+01, 4.5120000000000E+01
